timestamp,src_ip,dst_ip,port,protocol,bytes,action
2026-05-07 10:00:01,192.168.1.10,10.0.0.1,443,TCP,1200,allow
2026-05-07 10:00:02,192.168.1.10,10.0.0.1,443,TCP,800,allow
2026-05-07 10:00:03,10.0.0.5,192.168.1.1,22,TCP,3400,allow
2026-05-07 10:00:04,10.0.0.5,192.168.1.1,22,TCP,2800,allow
2026-05-07 10:00:05,10.0.0.5,192.168.1.1,22,TCP,3100,allow
2026-05-07 10:00:06,192.168.1.10,10.0.0.1,53,UDP,150,allow
2026-05-07 10:00:07,192.168.1.10,10.0.0.1,53,UDP,180,allow
2026-05-07 10:00:08,10.0.0.5,192.168.1.1,22,TCP,2900,allow
2026-05-07 10:00:09,10.0.0.5,192.168.1.1,22,TCP,2600,allow
2026-05-07 10:00:10,10.0.0.5,192.168.1.1,22,TCP,3300,allow
2026-05-07 10:00:15,192.168.1.20,10.0.0.1,443,TCP,950,allow
2026-05-07 10:00:16,192.168.1.20,10.0.0.1,443,TCP,1100,allow
2026-05-07 10:00:17,192.168.1.10,10.0.0.1,53,UDP,160,allow
2026-05-07 10:00:18,192.168.1.10,10.0.0.1,53,UDP,140,allow
2026-05-07 10:00:45,10.0.0.99,192.168.1.1,22,TCP,100,block
2026-05-07 10:00:46,10.0.0.99,192.168.1.1,23,TCP,100,block
2026-05-07 10:00:47,10.0.0.99,192.168.1.1,24,TCP,100,block
2026-05-07 10:00:48,10.0.0.99,192.168.1.1,25,TCP,100,block
2026-05-07 10:00:49,10.0.0.99,192.168.1.1,26,TCP,100,block
2026-05-07 10:00:50,10.0.0.99,192.168.1.1,27,TCP,100,block
